,cs_L3_2,dcs_L2,dcs_L3,dcs_L3_2,dr_2,dunem_L3_2,edcs_L1,edcs_L2,edcs_L2_2,spr,spr_2,spr_L3,spr_L3_2,syc_L3_2,tr10_2,y
1998-06-16,0.2591758573350571,0.0,0.0,0.0,0.16688621023200712,0.0,0.0510958448701583,0.05146110906897559,0.00011443745897307019,-0.11082247787816243,0.00491641705092089,-0.27308948995928145,0.029878913957472896,0.0,2.7389821062310187,0
1998-06-17,0.2591758573350571,0.28355635202463497,0.0,0.0,0.16760680085243107,0.0,0.05073444879652674,0.05109583775154172,0.00011281866873524448,0.22602655833261362,0.020450877526586392,-0.27308948995928145,0.029878913957472896,0.0,2.830190832812051,0
1998-06-18,0.2672118424973983,-0.2835563520246602,0.2835335057837174,0.002752731602961708,0.1683289438264991,0.0,0.05037687339162993,0.050734441728259465,0.00011122840107349864,0.3718786830934461,0.05535993509605914,-0.40542563148245997,0.06585325385695519,0.0010601789077156038,2.7894691932830002,1
1998-06-19,0.2591758573350564,-0.28355635202463497,-0.2835335057837426,0.002752731602962197,0.16905263915421131,0.0,0.050023064988544516,0.05037686637317967,0.00010966605503662473,0.23508585395686224,0.022123100741103383,-0.11077382867724608,0.004916195760672591,0.0010601789077156038,2.7591216127372333,0
1998-06-20,0.2512625589690868,0.0,-0.2835335057837174,0.002752731602961708,0.1697778868355677,0.0,0.04967297085943044,0.05002305801938644,0.00010813104439318879,0.23508585395686224,0.022123100741103383,0.2259273364810607,0.020449957022951545,4.2407156308622644e-05,2.7591216127372333,0
1998-06-21,0.2512625589690868,0.2835563520246602,0.0,0.0,0.17050468687056816,0.0,0.04932653919570658,0.0496729639390471,0.00010662279722171129,0.2312247211343951,0.021402353465051076,0.37171543461609113,0.05535744331929237,0.0003816644067776264,2.7591216127372333,0
1998-06-22,0.2591758573350571,0.0,0.2835335057837426,0.002752731602962197,0.1712330392592128,0.0,0.04898371908902664,0.049326532323587705,0.00010514075551209597,0.2383856478778273,0.022748523477983548,0.23498265522713965,0.02212210496991362,0.0010601789077156038,2.7490426380983632,1
1998-06-23,0.2591758573350571,0.0,0.0,0.0,0.17196294400150147,0.0,0.04864446051248671,0.04898371226466909,0.00010368437478085382,0.8856824795539116,0.31401407209072596,0.23498265522713965,0.02212210496991362,0.0010601789077156038,2.7389821062310187,0
1998-06-24,0.2591758573350571,0.0,0.0,0.0,0.1726944010974344,0.0,0.048308714302421424,0.04864445373539429,0.00010225312369729114,0.9066322107565635,0.3290449976188846,0.23112321737693842,0.02140139013503586,0.0010601789077156038,2.7490426380983632,1
1998-06-25,0.2591758573350571,0.28355635202463497,0.0,0.0,0.17342741054701138,0.0,0.04797643214055736,0.04830870757210479,0.00010084648372184287,0.36114167405066755,0.05220934170030379,0.23828100059416044,0.022747499556221674,0.0015266576271104604,2.7490426380983632,0
